ID,Common name,Stability,Activated formula unit_x,Metal,Nmetal,M_AtomicRadii,M_Electronegativity,M_Valency,M_Affinity,M_Ionization,Activated formula unit_y,Linker,NLinker,L_acid-pKa,L_afpBr1_C3_C3,L_afpC2_C2_C2,L_afpC2_C2_C3,L_afpC2_C3_C3,L_afpC2_C3_N2,L_afpC3_C3_C3,L_afpC3_C3_C4,L_afpC3_C3_Cl1,L_afpC3_C3_F1,L_afpC3_C3_H1,L_afpC3_C3_N2,L_afpC3_C3_N3,L_afpC3_C3_O1,L_afpC3_C3_O2,L_afpC3_C3_P4,L_afpC3_C3_S2,L_afpC3_C4_C3,L_afpC3_C4_C4,L_afpC3_C4_F1,L_afpC3_C4_H1,L_afpC3_C4_N2,L_afpC3_C4_N3,L_afpC3_C4_O2,L_afpC3_C4_P4,L_afpC3_N2_C3,L_afpC3_N2_C4,L_afpC3_N2_N2,L_afpC3_N2_N3,L_afpC3_N3_C3,L_afpC3_N3_C4,L_afpC3_N3_H1,L_afpC3_N3_N2,L_afpC3_N3_N3,L_afpC3_N3_O1,L_afpC3_N3_O2,L_afpC3_O2_C3,L_afpC3_O2_C4,L_afpC3_O2_H1,L_afpC3_P4_O1,L_afpC3_P4_O2,L_afpC3_S2_C3,L_afpC3_S2_H1,L_afpC4_C3_C4,L_afpC4_C3_H1,L_afpC4_C3_N2,L_afpC4_C3_N3,L_afpC4_C3_O1,L_afpC4_C3_O2,L_afpC4_C4_C4,L_afpC4_C4_F1,L_afpC4_C4_H1,L_afpC4_C4_N2,L_afpC4_C4_N3,L_afpC4_C4_O2,L_afpC4_N2_C4,L_afpC4_N2_N2,L_afpC4_N3_C4,L_afpC4_N3_H1,L_afpC4_O2_C4,L_afpC4_O2_H1,L_afpC4_O2_P4,L_afpC4_P4_H1,L_afpC4_P4_O1,L_afpC4_P4_O2,L_afpF1_C4_F1,L_afpF1_C4_O2,L_afpF1_Si4_F1,L_afpH1_C3_N2,L_afpH1_C3_N3,L_afpH1_C3_O1,L_afpH1_C3_O2,L_afpH1_C4_H1,L_afpH1_C4_N2,L_afpH1_C4_N3,L_afpH1_C4_O2,L_afpH1_C4_P4,L_afpH1_N3_H1,L_afpH1_N3_N2,L_afpH1_N3_N3,L_afpH1_O2_N3,L_afpH1_O2_P3,L_afpH1_O2_P4,L_afpH1_P4_O1,L_afpH1_P4_O2,L_afpN2_C3_N2,L_afpN2_C3_N3,L_afpN2_C4_N2,L_afpN2_N2_N3,L_afpN2_N3_N2,L_afpN3_C3_O1,L_afpN3_O2_P4,L_afpO1_C3_O1,L_afpO1_C3_O2,L_afpO1_N3_O2,L_afpO1_P3_O2,L_afpO1_P4_O2,L_afpO2_P3_O2,L_afpO2_P4_O2,L_afpP4_C4_P4,L_efpfam_acrylate,L_efpfam_ketone,L_efpfam_polyamides,L_efpfam_polyanhydrides,L_efpfam_single,L_efpnorm_mol_wt,L_efpnumatoms_none_H,L_efpring,L_mfpChi0n,L_mfpChi0v,L_mfpChi1n,L_mfpChi1v,L_mfpChi2n,L_mfpChi2v,L_mfpHallKierAlpha,L_mfpMQNs13,L_mfpMQNs14,L_mfpMQNs15,L_mfpMQNs16,L_mfpMQNs17,L_mfpMQNs19,L_mfpMQNs20,L_mfpMQNs21,L_mfpMQNs24,L_mfpMQNs25,L_mfpMQNs26,L_mfpMQNs27,L_mfpMQNs28,L_mfpMQNs29,L_mfpMQNs30,L_mfpMQNs31,L_mfpMQNs32,L_mfpMQNs35,L_mfpMQNs36,L_mfpMQNs40,L_mfpMQNs41,L_mfpMQNs42,L_mfpNumAliphaticRings,L_mfpNumAromaticRings,L_mfptpsa,L_linkermetalratio,L_no,L_noh,L_nh2o
189,MOF-69C(62),0,Zn3(OH2)(BDC)2,['Zn'],['3'],1.35,1.65,2,-0.62,9.3942,Zn3(OH2)(BDC)2,"['BDC', 'H2O']","[2.0, 1.0]",3.32,0,0,0,0,0,0.555555556,0,0,0,0.444444444,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,0,0.76912963,0.666666667,0.5,0.646277398,0.312944065,0.312944065,0.156472032,0.101384164,0.101384164,0.102222222,0.555555556,0.111111111,0,0.166666667,0.166666667,0.111111111,0.444444444,0.222222222,0,0,0.111111111,0.111111111,0.111111111,0,0,0.333333333,0,0,0.055555556,0,0,0,0,0.055555556,1.036111111,0.666666667,0,0,0.333333333
190,"Zn-DMOF-NO2(74, 75)",0,Zn2(BDC-NO2)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-NO2)2(DABCO),"['BDCNO2', 'DABCO']","[2.0, 1.0]",3.733333333,0,0,0,0,0,0.317460317,0,0,0,0.19047619,0,0.063492063,0.063492063,0.063492063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031746032,0.031746032,0,0,0.063492063,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0.031746032,0,0,0,0,0,0,0,0,0,0,0,0,0.063492063,0.031746032,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.717008995,0.60952381,0.6,0.674326273,0.283850083,0.329463747,0.14296391,0.095555332,0.095555332,0.078793651,0.580952381,0.095238095,0,0.245238095,0.095238095,0.126984127,0.446031746,0.255555556,0,0.031746032,0.095238095,0.095238095,0.095238095,0,0,0.223809524,0.1,0,0.081746032,0,0.133333333,0.15,0.05,0.031746032,0.938984127,1.5,0,0,0
191,UiO-BPY(98),0,Zr6O6(BPY)12,['Zr'],['6'],1.55,1.33,4,0.4333,6.6339,Zr6O6(BPY)12,"['BPY', 'O']","[12.0, 6.0]",5.25,0,0,0,0,0,0.5,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650783333,0.6,1,0.69472136,0.29472136,0.35722136,0.15722136,0.09604102,0.09604102,0.085,0.45,0,0,0.3,0.3,0.05,0.1,0.1,0,0,0,0,0,0,0.1,0.5,0,0,0.1,0,0,0,0,0.1,0.32225,2,1,0,0
192,UMCM-1(31),0,Zn4O(BDC)3(BTB)4,['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BDC)3(BTB)4,"['BDC', 'BTB', 'O']","[3.0, 4.0, 1.0]",3.474285714,0,0,0,0,0,0.708683473,0,0,0,0.526610644,0,0,0.081232493,0.081232493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081232493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081232493,0,0,0,0,0,0,1,0,0,0,0,0.738996732,0.655462185,0.62987013,0.657362467,0.312824652,0.329631375,0.164815687,0.111936322,0.111936322,0.096582633,0.540616246,0.081232493,0,0.205882353,0.205882353,0.114845938,0.324929972,0.162464986,0,0,0.081232493,0.081232493,0.081232493,0,0,0.411764706,0,0,0.068627451,0,0,0,0,0.068627451,0.757492997,1.75,0.25,0,0
193,Zn-DMOF-Br(75),0,Zn2(BDC-Br)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-Br)2(DABCO),"['BDCBr', 'DABCO']","[2.0, 1.0]",4.833333333,0.148148148,0,0,0,0,0.37037037,0,0,0,0.148148148,0,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,1.155565432,0.651851852,0.619047619,0.649682013,0.41901509,0.320451703,0.211914665,0.103948807,0.162689419,0.033925926,0.57037037,0.074074074,0,0.261111111,0.111111111,0.074074074,0.32962963,0.181481481,0,0,0.148148148,0.074074074,0.074074074,0,0,0.255555556,0.1,0,0.087037037,0,0.133333333,0.15,0.05,0.037037037,0.717740741,1.5,0,0,0
194,Zn-DMOF-Cl2(75),0,Zn2(BDC-Cl2)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-Cl2)2(DABCO),"['BDCCl', 'DABCO']","[2.0, 1.0]",4.686666667,0,0,0,0,0,0.37037037,0,0.148148148,0,0.148148148,0,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.881176543,0.651851852,0.619047619,0.649682013,0.357528601,0.320451703,0.181171421,0.103948807,0.131946175,0.048,0.57037037,0.074074074,0,0.261111111,0.111111111,0.074074074,0.32962963,0.181481481,0,0,0.148148148,0.074074074,0.074074074,0,0,0.255555556,0.1,0,0.087037037,0,0.133333333,0.15,0.05,0.037037037,0.717740741,1.5,0,0,0
195,Zn-DMOF-DM(76),0,Zn2(BDC-(CH3)2)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-(CH3)2)2(DABCO),"['BDCCH3', 'DABCO']","[2.0, 1.0]",5.426666667,0,0,0,0,0,0.317460317,0.063492063,0,0,0.19047619,0,0,0.063492063,0.063492063,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063492063,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195238095,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063492063,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.632411111,0.546031746,0.641025641,0.713573569,0.259605315,0.353368399,0.132209778,0.088230996,0.088230996,0.059746032,0.612698413,0.063492063,0,0.245238095,0.095238095,0.095238095,0.287301587,0.16031746,0,0,0.063492063,0.063492063,0.063492063,0.031746032,0,0.223809524,0.1,0,0.081746032,0,0.133333333,0.15,0.05,0.031746032,0.619063492,1.5,0,0,0
196,Zn-DMOF-DM0.5(76),0,Zn2(BDC)(BDC-(CH3)2)(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC)(BDC-(CH3)2)(DABCO),"['BDC', 'BDCCH3', 'DABCO']","[1.0, 1.0, 1.0]",5.446666667,0,0,0,0,0,0.343915344,0.031746032,0,0,0.243386243,0,0,0.068783069,0.068783069,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068783069,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147619048,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068783069,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.650482099,0.561904762,0.653846154,0.704666144,0.266570906,0.348429228,0.135692573,0.089090559,0.089090559,0.064613757,0.591534392,0.068783069,0,0.253174603,0.103174603,0.084656085,0.308465608,0.170899471,0,0,0.068783069,0.068783069,0.068783069,0.015873016,0,0.23968254,0.1,0,0.084391534,0,0.133333333,0.15,0.05,0.034391534,0.668402116,1.5,0,0,0
197,Zn-DMOF-MM(76),0,Zn2(BDC-CH3)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-CH3)2(DABCO),"['BDCCH3', 'DABCO']","[2.0, 1.0]",5.426666667,0,0,0,0,0,0.317460317,0.063492063,0,0,0.19047619,0,0,0.063492063,0.063492063,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063492063,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195238095,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063492063,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.632411111,0.546031746,0.641025641,0.713573569,0.259605315,0.353368399,0.132209778,0.088230996,0.088230996,0.059746032,0.612698413,0.063492063,0,0.245238095,0.095238095,0.095238095,0.287301587,0.16031746,0,0,0.063492063,0.063492063,0.063492063,0.031746032,0,0.223809524,0.1,0,0.081746032,0,0.133333333,0.15,0.05,0.031746032,0.619063492,1.5,0,0,0
198,Zn-DMOF-MM0.5(76),0,Zn2(BDC)(BDC-CH3)(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC)(BDC-CH3)(DABCO),"['BDC', 'BDCCH3', 'DABCO']","[1.0, 1.0, 1.0]",5.446666667,0,0,0,0,0,0.343915344,0.031746032,0,0,0.243386243,0,0,0.068783069,0.068783069,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068783069,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147619048,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068783069,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.650482099,0.561904762,0.653846154,0.704666144,0.266570906,0.348429228,0.135692573,0.089090559,0.089090559,0.064613757,0.591534392,0.068783069,0,0.253174603,0.103174603,0.084656085,0.308465608,0.170899471,0,0,0.068783069,0.068783069,0.068783069,0.015873016,0,0.23968254,0.1,0,0.084391534,0,0.133333333,0.15,0.05,0.034391534,0.668402116,1.5,0,0,0
199,Zn-DMOF-NH2(31),0,Zn2(BDC-NH2)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-NH2)2(DABCO),"['BDCNH2', 'DABCO']","[2.0, 1.0]",5.94,0,0,0,0,0,0.333333333,0,0,0,0.2,0,0.066666667,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.658986111,0.566666667,0.641025641,0.700914012,0.267580678,0.343228251,0.136197459,0.090644738,0.090644738,0.069333333,0.6,0.066666667,0,0.25,0.1,0.1,0.333333333,0.2,0,0,0.066666667,0.066666667,0.1,0,0,0.233333333,0.1,0,0.083333333,0,0.133333333,0.15,0.05,0.033333333,0.8655,1.5,0,0,0
200,Zn-DMOF-OH(75),0,Zn2(BDC-OH)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-OH)2(DABCO),"['BDCOH', 'DABCO']","[2.0, 1.0]",4.786666667,0,0,0,0,0,0.350877193,0,0,0,0.210526316,0,0,0.070175439,0.140350877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070175439,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.688346784,0.589473684,0.641025641,0.68740682,0.276880504,0.336452455,0.140847372,0.093555034,0.093555034,0.072912281,0.585964912,0.070175439,0,0.255263158,0.105263158,0.105263158,0.384210526,0.20877193,0,0,0.070175439,0.105263158,0.070175439,0,0,0.243859649,0.1,0,0.085087719,0,0.133333333,0.15,0.05,0.035087719,0.858842105,1.5,0,0,0
201,Zn-DMOF-TF(76),0,Zn2(BDC-F4)2(DABCO),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-F4)2(DABCO),"['BDCF4', 'DABCO']","[2.0, 1.0]",4.04,0,0,0,0,0,0.37037037,0,0,0.296296296,0,0,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0.890651852,0.725925926,0.583333333,0.603605307,0.329531233,0.29741335,0.167172736,0.117947491,0.117947491,0.079851852,0.57037037,0.074074074,0,0.261111111,0.111111111,0.074074074,0.32962963,0.181481481,0,0,0.222222222,0.074074074,0.074074074,0,0,0.255555556,0.1,0,0.087037037,0,0.133333333,0.15,0.05,0.037037037,0.717740741,1.5,0,0,0
202,Zn-MOF-508-TM(77),0,Zn2(BDC-(CH3)4)2(BPY),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC-(CH3)4)2(BPY),"['BDC4CH3', 'BPY']","[2.0, 1.0]",3.803333333,0,0,0,0,0,0.388888889,0.177777778,0,0,0.2,0.066666667,0,0.044444444,0.044444444,0,0,0,0,0,0.266666667,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0,0,0.666666667,0,0,0,0,0.628483333,0.555555556,0.583333333,0.712306968,0.267862523,0.355362523,0.137218155,0.094789561,0.094789561,0.069222222,0.638888889,0.044444444,0,0.166666667,0.166666667,0.15,0.211111111,0.122222222,0,0,0.044444444,0.044444444,0.044444444,0.088888889,0.033333333,0.3,0,0,0.055555556,0,0,0,0,0.055555556,0.521861111,1.5,0,0,0
203,Bio-MOF-11(95),0,Co2(AD)2(CH3CO2),['Co'],['2'],1.35,1.88,2,0.66226,7.881,Co2(AD)2(CH3CO2),"['AD', 'AC']","[2.0, 1.0]",8.373333333,0,0,0,0,0,0.044444444,0,0,0,0,0.133333333,0.133333333,0,0,0,0,0,0,0,0.125,0,0,0,0,0.133333333,0,0,0,0.044444444,0,0.177777778,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0.041666667,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.044444444,0,0,0.125,0,0,0,0,0.044444444,0,0,0,0,0,0,0,0.088888889,0.088888889,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.333333333,0,0,0,0,0.70899537,0.611111111,0.6,0.675068157,0.286179268,0.322675223,0.139091953,0.085001128,0.085001128,0.095416667,0.516666667,0.041666667,0,0.222222222,0.222222222,0.086111111,0.388888889,0.305555556,0,0,0.041666667,0.041666667,0.086111111,0.041666667,0.133333333,0.266666667,0,0.044444444,0.044444444,0,0.088888889,0.044444444,0,0.088888889,1.282763889,1.5,0,0,0
204,Bio-MOF-12(95),0,Co2(AD)2(C2H5CO2)2,['Co'],['2'],1.35,1.88,2,0.66226,7.881,Co2(AD)2(C2H5CO2)2,"['AD', 'CH']","[2.0, 2.0]",10.795,0,0,0,0,0,0.033333333,0,0,0,0,0.1,0.1,0,0,0,0,0,0.058823529,0,0.117647059,0,0,0,0,0.1,0,0,0,0.033333333,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0.058823529,0,0.088235294,0,0.470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.033333333,0,0,0.147058824,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.615912582,0.539215686,0.878571429,0.718895843,0.258111529,0.358983521,0.133870004,0.082830274,0.082830274,0.064705882,0.494117647,0.029411765,0,0.343137255,0.166666667,0.033333333,0.225490196,0.196078431,0,0,0.029411765,0,0.033333333,0,0.1,0.229411765,0.147058824,0.033333333,0.062745098,0,0.066666667,0.033333333,0.029411765,0.066666667,0.796181373,2,0,0,0
205,MIL-47(V)(268),0,V(O)BDC,['V'],['1'],1.35,1.63,5,0.527,6.7462,V(O)BDC,"['BDC', 'O']","[1.0, 1.0]",3.32,0,0,0,0,0,0.555555556,0,0,0,0.444444444,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,0,0.76912963,0.666666667,0.5,0.646277398,0.312944065,0.312944065,0.156472032,0.101384164,0.101384164,0.102222222,0.555555556,0.111111111,0,0.166666667,0.166666667,0.111111111,0.444444444,0.222222222,0,0,0.111111111,0.111111111,0.111111111,0,0,0.333333333,0,0,0.055555556,0,0,0,0,0.055555556,1.036111111,1,1,0,0
206,MOF-505(63),0,Cu2(BPTC),['Cu'],['2'],1.35,1.9,2,1.23578,7.7264,Cu2(BPTC),['BPTC'],[1.0],3.17,0,0,0,0,0,0.705882353,0,0,0,0.352941176,0,0,0.117647059,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,0,0,0,0,0,0,1,0,0,0,0,0.809431373,0.705882353,0.5,0.625470186,0.331352539,0.309293715,0.173029211,0.122053821,0.122053821,0.108235294,0.558823529,0.117647059,0,0.176470588,0.176470588,0.147058824,0.470588235,0.235294118,0,0,0.117647059,0.117647059,0.117647059,0,0,0.352941176,0,0,0.058823529,0,0,0,0,0.058823529,1.097058824,0.5,0,0,0
207,N/A(275),0,Cu2(TPTC-O-ethyl),['Cu'],['2'],1.35,1.9,2,1.23578,7.7264,Cu2(TPTC-O-ethyl),['TPTC-O'],[1.0],3.17,0,0,0,0,0,0.772727273,0,0,0,0.454545455,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,1,0,0,0,0,0.769594697,0.681818182,0.6,0.64240878,0.324226962,0.324226962,0.173477117,0.122723407,0.122723407,0.101363636,0.545454545,0.090909091,0,0.204545455,0.204545455,0.136363636,0.363636364,0.181818182,0,0,0.090909091,0.090909091,0.090909091,0,0,0.409090909,0,0,0.068181818,0,0,0,0,0.068181818,0.847727273,0.5,0,0,0
